fecha_evento,albaran_id,eventos_total,eventos_override,coherence_before,coherence_after,policy_applied,policy_reason,run_id,ts_utc
2028-05-21,AE 455,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-21,AE 456,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-21,AE 458,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-21,AE 459,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-22,AE 460,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-22,AE 461,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-22,AE 462,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-23,AE 463,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-23,AE 464,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-23,AE 465,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-23,AE 466,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-23,AE 467,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-28,AE 476,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-28,AE 477,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-05-28,AE 478,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
